city,comparison_type,rep_a,rep_b,level,n_only_a,n_only_b,n_both,n_union,overlap_pct
brighton,b1_b1,2,3,whole_report,0,0,55,55,100.0
brighton,b1_b1,2,3,section:geographic,0,0,5,5,100.0
brighton,b1_b1,2,3,section:types,0,0,13,13,100.0
brighton,b1_b1,2,3,section:operational,0,0,16,16,100.0
brighton,b1_b1,2,3,section:reach,0,0,10,10,100.0
brighton,b1_b1,2,3,section:digital,0,0,4,4,100.0
brighton,b1_b1,2,3,section:notable,0,0,7,7,100.0
brighton,full_b1,1,1,whole_report,11,12,49,72,68.1
brighton,full_b1,1,1,section:geographic,3,0,4,7,57.1
brighton,full_b1,1,1,section:types,0,6,11,17,64.7
brighton,full_b1,1,1,section:operational,2,6,13,21,61.9
brighton,full_b1,1,1,section:reach,5,0,10,15,66.7
brighton,full_b1,1,1,section:digital,0,0,4,4,100.0
brighton,full_b1,1,1,section:notable,1,0,7,8,87.5
brighton,full_b1,1,2,whole_report,14,9,46,69,66.7
brighton,full_b1,1,2,section:geographic,3,1,4,8,50.0
brighton,full_b1,1,2,section:types,0,2,11,13,84.6
brighton,full_b1,1,2,section:operational,5,6,10,21,47.6
brighton,full_b1,1,2,section:reach,5,0,10,15,66.7
brighton,full_b1,1,2,section:digital,0,0,4,4,100.0
brighton,full_b1,1,2,section:notable,1,0,7,8,87.5
brighton,full_b1,1,3,whole_report,14,9,46,69,66.7
brighton,full_b1,1,3,section:geographic,3,1,4,8,50.0
brighton,full_b1,1,3,section:types,0,2,11,13,84.6
brighton,full_b1,1,3,section:operational,5,6,10,21,47.6
brighton,full_b1,1,3,section:reach,5,0,10,15,66.7
brighton,full_b1,1,3,section:digital,0,0,4,4,100.0
brighton,full_b1,1,3,section:notable,1,0,7,8,87.5
brighton,full_b1,2,1,whole_report,10,15,46,71,64.8
brighton,full_b1,2,1,section:geographic,2,0,4,6,66.7
brighton,full_b1,2,1,section:types,1,6,11,18,61.1
brighton,full_b1,2,1,section:operational,1,9,10,20,50.0
brighton,full_b1,2,1,section:reach,5,0,10,15,66.7
brighton,full_b1,2,1,section:digital,0,0,4,4,100.0
brighton,full_b1,2,1,section:notable,1,0,7,8,87.5
brighton,full_b1,2,2,whole_report,11,10,45,66,68.2
brighton,full_b1,2,2,section:geographic,2,1,4,7,57.1
brighton,full_b1,2,2,section:types,1,2,11,14,78.6
brighton,full_b1,2,2,section:operational,2,7,9,18,50.0
brighton,full_b1,2,2,section:reach,5,0,10,15,66.7
brighton,full_b1,2,2,section:digital,0,0,4,4,100.0
brighton,full_b1,2,2,section:notable,1,0,7,8,87.5
brighton,full_b1,2,3,whole_report,11,10,45,66,68.2
brighton,full_b1,2,3,section:geographic,2,1,4,7,57.1
brighton,full_b1,2,3,section:types,1,2,11,14,78.6
brighton,full_b1,2,3,section:operational,2,7,9,18,50.0
brighton,full_b1,2,3,section:reach,5,0,10,15,66.7
brighton,full_b1,2,3,section:digital,0,0,4,4,100.0
brighton,full_b1,2,3,section:notable,1,0,7,8,87.5
brighton,full_b1,3,1,whole_report,10,15,46,71,64.8
brighton,full_b1,3,1,section:geographic,2,0,4,6,66.7
brighton,full_b1,3,1,section:types,1,6,11,18,61.1
brighton,full_b1,3,1,section:operational,1,9,10,20,50.0
brighton,full_b1,3,1,section:reach,5,0,10,15,66.7
brighton,full_b1,3,1,section:digital,0,0,4,4,100.0
brighton,full_b1,3,1,section:notable,1,0,7,8,87.5
brighton,full_b1,3,2,whole_report,11,10,45,66,68.2
brighton,full_b1,3,2,section:geographic,2,1,4,7,57.1
brighton,full_b1,3,2,section:types,1,2,11,14,78.6
brighton,full_b1,3,2,section:operational,2,7,9,18,50.0
brighton,full_b1,3,2,section:reach,5,0,10,15,66.7
brighton,full_b1,3,2,section:digital,0,0,4,4,100.0
brighton,full_b1,3,2,section:notable,1,0,7,8,87.5
brighton,full_b1,3,3,whole_report,11,10,45,66,68.2
brighton,full_b1,3,3,section:geographic,2,1,4,7,57.1
brighton,full_b1,3,3,section:types,1,2,11,14,78.6
brighton,full_b1,3,3,section:operational,2,7,9,18,50.0
brighton,full_b1,3,3,section:reach,5,0,10,15,66.7
brighton,full_b1,3,3,section:digital,0,0,4,4,100.0
brighton,full_b1,3,3,section:notable,1,0,7,8,87.5
dublin,full_full,1,2,whole_report,8,3,55,66,83.3
dublin,full_full,1,2,section:geographic,5,1,12,18,66.7
dublin,full_full,1,2,section:types,2,2,12,16,75.0
dublin,full_full,1,2,section:operational,1,0,8,9,88.9
dublin,full_full,1,2,section:reach,0,0,10,10,100.0
dublin,full_full,1,2,section:digital,0,0,4,4,100.0
dublin,full_full,1,2,section:notable,0,0,9,9,100.0
dublin,full_full,1,3,whole_report,8,3,55,66,83.3
dublin,full_full,1,3,section:geographic,5,1,12,18,66.7
dublin,full_full,1,3,section:types,2,2,12,16,75.0
dublin,full_full,1,3,section:operational,1,0,8,9,88.9
dublin,full_full,1,3,section:reach,0,0,10,10,100.0
dublin,full_full,1,3,section:digital,0,0,4,4,100.0
dublin,full_full,1,3,section:notable,0,0,9,9,100.0
dublin,full_full,2,3,whole_report,0,0,58,58,100.0
dublin,full_full,2,3,section:geographic,0,0,13,13,100.0
dublin,full_full,2,3,section:types,0,0,14,14,100.0
dublin,full_full,2,3,section:operational,0,0,8,8,100.0
dublin,full_full,2,3,section:reach,0,0,10,10,100.0
dublin,full_full,2,3,section:digital,0,0,4,4,100.0
dublin,full_full,2,3,section:notable,0,0,9,9,100.0
dublin,b1_b1,1,2,whole_report,8,9,63,80,78.8
